sampleID	x	y
83CY3U008	-90.49914837	36.48383305
83CY3U009	-90.34604544	36.26816269
83CY3U010	-90.20303334	36.45762695
83CY3U011	-90.44537432	36.27066951
83CY3U012	-90.49914837	36.48383305
83CY3U013	-90.49941213	36.44229001
83CY3U014	-90.70903246	36.28253954
83CY4N015	-90.18482609	36.43079328
83DL3N001	-92.41088444	33.87731342
83DL3N002	-92.41945458	33.91308697
83DL3N003	-92.41948679	33.91312319
83DL3N004	-92.42182569	33.92238755
83DL3N005	nan	nan
83DL3N006	nan	nan
83DL3N007	-92.77584523	33.89773733
83DL3N008	-92.77392468	33.90007877
83DL3N009	-92.69933327	33.92914988
83DR1N001	-91.81693894	33.73517718
83DR1N002	-91.76146384	33.64139026
83DR2N003	-91.7792075	33.64475934
83DR2N004	-91.78437639	33.64295243
83DR2N005	-91.76003675	33.62886711
83DR2N006	-91.90298111	33.71143182
83DR3N007	-91.80662007	33.65319792
83DR3N008	-91.79737815	33.64389127
83DR3N009	-91.81726688	33.60802631
83DR3N012	-91.74877188	33.60416882
83DR3N013	-91.74950885	33.75884446
83DR3N016	-91.82224571	33.74337169
83DR3U014	-91.83456746	33.78294477
83DR3U015	-91.8053194	33.68331664
83DR4N016	-91.64848873	33.60665806
83DR5N018	-91.74670185	33.7884866
83DR5N019	-91.91248446	33.6466349
83DR5N020	-91.75244258	33.62991806
83DR5N021	-91.86238588	33.75378581
83DR5N022	-91.56407746	33.51349323
83DS2N001	-91.24500666	33.59067957
83DS2N002	-91.24677604	33.60547591
83DS2N003	-91.25151697	33.60552499
83DS3N004	-91.17714448	33.5886431
83DS3N012	-91.24869789	33.7818089
83DS3U005	-91.25118796	33.62661307
83DS3U006	-91.25118796	33.62661307
83DS3U007	-91.25118796	33.62661307
83DS3U008	-91.25118796	33.62661307
83DS3U009	-91.25118796	33.62661307
83DS3U010	-91.25118796	33.62661307
83DS3U011	-91.25118796	33.62661307
83DS4N012	-91.10992478	34.01382929
83DS5N013	-91.21102005	33.75270962
83FA2N002	-92.33619592	35.18234078
83FA2N004	-92.35903965	34.99453809
83FA2N005	-92.19169168	35.05380045
83FA2N007	-92.2764482	35.13905982
83FA2N008	-92.23274577	35.1499089
83FA2N009	-92.12381516	35.24532519
83FA2N011	-92.34500272	35.04540138
83FA2N012	-92.3051287	35.07729855
83FA2N013	-92.51739351	34.98099642
83FA3N014	-92.50974594	35.12599019
83FA3N015	-92.35449761	35.13316173
83FA3N016	-92.405166	35.21884821
83FA3N017	-92.40051704	35.06778952
83FA3N020	-92.40437341	35.12117192
83FA5N023	-92.22344773	35.24793512
83FA5N024	-92.42514121	35.0048873
83FA5N025	-92.49185676	35.06397751
83FR1N001	-93.73179103	35.69039218
83FR1N002	-93.7584056	35.67884905
83FR1N003	-93.73252999	35.69143357
83FR2N004	-93.74268314	35.47826158
83FR2N006	-93.77500033	35.75389261
83FR2N008	-93.89077512	35.51220668
83FR2N010	-93.76361467	35.72682704
83FR2N011	-93.76350531	35.72463682
83FR2N014	-93.79001433	35.67482294
83FR2N015	-93.76333543	35.72421414
83FR2N016	-93.89077512	35.51220668
83FR2N017	-93.73003205	35.76654398
83FR2N018	-93.72676725	35.65436683
83FR2N019	-93.83044646	35.68769635
83FR2N020	-93.808477	35.76002857
83FR2N021	-93.80830842	35.76085917
83FR2N024	-93.96773363	35.65882951
83FR2N026	-93.93550427	35.68406768
83FR2N028	-94.00897787	35.61698116
83FR2N033	-93.70881375	35.50006876
83FR5N035	-93.84622846	35.50840693
83FR5P036	nan	nan
83FU2N001	-91.81827091	36.38175114
83FU2N002	-91.81827091	36.38175114
83FU2N003	-92.05694896	36.3979645
83FU2N004	-91.70520149	36.26799356
83FU2N006	-91.48693216	36.34010745
83FU3N007	-91.49604306	36.41033686
83FU3N008	-92.0210903	36.3175776
83FU3N009	-91.63340486	36.26123586
83FU3N010	-91.47848284	36.34372313
83FU3N011	-91.72022536	36.28669882
83FU3N012	-91.50194306	36.46834636
83FU3N013	-91.91806715	36.26298698
83FU3N014	-92.02677157	36.32026541
83FU3N015	-91.67500017	36.26861831
83FU3N016	nan	nan
83FU3N017	nan	nan
83FU3N018	nan	nan
83FU3N019	nan	nan
83FU3N020	nan	nan
83FU3N021	nan	nan
83FU3N022	nan	nan
83FU5N023	-91.7316539	36.41216174
83FU5N024	-91.79417703	36.43165028
83GA3N001	-93.0599594	34.41574363
83GA3N002	-93.05998114	34.41570755
83GA3N003	-93.05998118	34.41576166
83GA3N005	-93.05980682	34.41541003
83GA3N006	-93.05980682	34.41541003
83GA3N007	-93.01595526	34.42813941
83GA3N008	-93.11242196	34.60294177
83GA3N009	-93.06343306	34.69168678
83GA3N010	-93.16861158	34.46805622
83GA3N011	-93.14005152	34.45561105
83GA3N012	-93.33454301	34.52234657
83GA3N013	-93.01900862	34.5984019
83GA3N014	-93.15650258	34.40926424
83GA3N015	-93.20625189	34.47614194
83GA3N016	-93.15474947	34.57955676
83GA3N017	-93.1366641	34.41454568
83GA4N018	-93.25081404	34.44019318
83GE3N001	-90.53577977	35.9963136
83GE3N002	-90.43673239	36.0671618
83GE3N003	-90.54756275	35.97757301
83GE3N004	-90.57413535	36.01873703
83GE3N005	-90.53622677	35.99549355
83GE3N006	-90.42854462	36.14397526
83GE3N012	-90.63193156	36.00493937
83GE3N013	-90.49585712	36.11094542
83GE3N014	-90.43409332	36.20076759
83GE3N015	-90.44076791	36.17473708
83GE3N016	-90.48685548	36.16018454
83GE3N017	-90.48464717	36.19587477
83GE4N018	-90.61847155	36.0927252
83GE4N019	-90.61776018	36.19046072
83GE5N020	-90.59609702	36.02770621
83GR2N001	-90.74842851	35.96881219
